case_id,config_name,mode,query_family_applied,final_provider_query_count,expected_anchor_coverage,overbroad_query_count,repeated_phrase_query_count,single_axis_query_count,weak_query_count,query_quality_score,query_repair_enabled,query_repair_applied,dropped_query_count,repaired_query_count,raw_to_final_query_change_count,repair_disabled_but_sanitizer_active,no_query_repair_conclusive,merged_count,duplicate_ratio,provider_success_rate,must_read_count,include_count,forbidden_pattern_top10_count,forbidden_pattern_top20_count,forbidden_pattern_must_read_count,forbidden_pattern_include_count,required_group_coverage_top10,intent_centrality_mean_top10,reading_path_paper_count,reading_path_exclude_count,reading_path_out_of_scope_count,reading_path_duplicate_count,reading_path_negative_context_count,target_context_required_for_priority,notes
ai_literature_screening,full_system,plan,true,10,1.0000,0,0,1,1,0.9600,true,true,5,14,0,false,true,0,,0.0000,0,0,0,0,0,0,,,0,0,0,0,0,false,weak query heuristic hit
ai_literature_screening,no_query_family,plan,false,5,0.5000,2,0,3,4,0.3800,true,false,0,0,0,false,true,0,,0.0000,0,0,0,0,0,0,,,0,0,0,0,0,false,weak query heuristic hit
ai_literature_screening,no_query_repair,plan,true,10,1.0000,0,0,1,1,0.9600,false,false,5,0,0,true,false,0,,0.0000,0,0,0,0,0,0,,,0,0,0,0,0,false,partially_supported ablation; diagnostic only; query repair disabled; no-difference reason: repair stage disabled but upstream sanitizer still applied; query repair ablation is non-conclusive because upstream sanitizer remains active; no_query_repair is diagnostic/non-conclusive in this pilot because upstream sanitizer remains active; weak query heuristic hit
mof_co2_capture,full_system,plan,true,8,0.5000,2,0,4,2,0.5000,true,true,12,20,0,false,true,0,,0.0000,0,0,0,0,0,0,,,0,0,0,0,0,false,weak query heuristic hit
mof_co2_capture,no_query_family,plan,false,12,0.3333,9,5,11,12,0.2000,true,false,0,0,0,false,true,0,,0.0000,0,0,0,0,0,0,,,0,0,0,0,0,false,weak query heuristic hit
mof_co2_capture,no_query_repair,plan,true,8,0.5000,2,0,4,2,0.5000,false,false,12,0,0,true,false,0,,0.0000,0,0,0,0,0,0,,,0,0,0,0,0,false,partially_supported ablation; diagnostic only; query repair disabled; no-difference reason: repair stage disabled but upstream sanitizer still applied; query repair ablation is non-conclusive because upstream sanitizer remains active; no_query_repair is diagnostic/non-conclusive in this pilot because upstream sanitizer remains active; weak query heuristic hit
oer_spin_state,full_system,full,true,6,0.3333,0,0,0,0,0.6000,true,true,12,13,0,false,true,66,,1.0000,12,25,0,0,0,0,1.0000,0.9927,11,0,0,0,0,false,
sei_lithium_battery,full_system,full,true,11,0.5000,0,1,0,1,0.6636,true,true,12,23,0,false,true,130,,1.0000,12,59,0,0,0,0,1.0000,0.9985,12,0,0,0,0,true,weak query heuristic hit
thin_film_deposition,full_system,plan,true,5,0.5000,0,1,0,1,0.6200,true,true,7,12,0,false,true,0,,0.0000,0,0,0,0,0,0,,,0,0,0,0,0,false,weak query heuristic hit
thin_film_deposition,no_query_family,plan,false,7,0.1667,1,1,0,7,0.1000,true,false,0,0,0,false,true,0,,0.0000,0,0,0,0,0,0,,,0,0,0,0,0,false,weak query heuristic hit
thin_film_deposition,no_query_repair,plan,true,5,0.5000,0,1,0,1,0.6200,false,false,7,0,0,true,false,0,,0.0000,0,0,0,0,0,0,,,0,0,0,0,0,false,partially_supported ablation; diagnostic only; query repair disabled; no-difference reason: repair stage disabled but upstream sanitizer still applied; query repair ablation is non-conclusive because upstream sanitizer remains active; no_query_repair is diagnostic/non-conclusive in this pilot because upstream sanitizer remains active; weak query heuristic hit
